Receive time,Appliance,Source address,Destination address,Source Port,Destination port,Protocol,Application,Type,Rule,Egress interface,Ingress interface,From Zone,To Zone,Source country,Destination country,User,Packets Received,Packets Sent,Received Bytes,Transmitted Bytes,Session duration,Reverse Rate (Bps),Forward Rate (Bps)
2017-10-01T18:20:02Z,Branch01-OneEight,172.19.10.27,8.8.8.8,20124,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,151,58,7,21571.43,8285.71
2017-10-01T18:22:17Z,Branch01-OneEight,172.19.10.27,172.217.26.174,56022,443,udp,unknown_udp,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,2459,1317,3229825,95395,134690,23979.69,708.26
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.24,216.58.221.67,59460,443,udp,unknown_udp,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,8,7,1932,2216,15117,127.8,146.59
2017-10-01T18:29:45Z,Branch01-OneEight,169.0.209.188,43.224.129.104,54993,23,tcp,unknown_tcp,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,,Japan,unknown,0,1,0,40,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,172.19.10.27,8.8.8.8,48404,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,166,57,7,23714.29,8142.86
2017-10-01T18:22:51Z,Branch01-OneEight,172.19.10.27,216.58.197.46,63738,443,udp,unknown_udp,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,459,362,415946,132102,155394,2676.72,850.11
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.128.217,5127,5060,udp,sip,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,China,Japan,unknown,0,25,0,11075,21,0,527380.95
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.102,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,443,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.107,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,443,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.110,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,440,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.128.223,5127,5060,udp,sip,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,China,Japan,unknown,0,25,0,11050,18,0,613888.89
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.106,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,443,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.98,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,442,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.96,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,441,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.104,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,443,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.97,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,441,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.128.218,5127,5060,udp,sip,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,China,Japan,unknown,0,25,0,11000,22,0,500000
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.111,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,444,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.100,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,442,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.128.222,5127,5060,udp,sip,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,China,Japan,unknown,0,25,0,11050,18,0,613888.89
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.128.220,5127,5060,udp,sip,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,China,Japan,unknown,0,25,0,11025,19,0,580263.16
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.109,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,444,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.99,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,441,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.105,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,443,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.128.216,5127,5060,udp,sip,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,China,Japan,unknown,0,25,0,10950,23,0,476086.96
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.103,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,443,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.108,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,444,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.128.221,5127,5060,udp,sip,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,China,Japan,unknown,0,25,0,11075,21,0,527380.95
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.128.219,5127,5060,udp,sip,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,China,Japan,unknown,0,25,0,11025,21,0,525000
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.232,43.224.129.101,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,443,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.233,43.224.129.110,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,442,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,218.8.128.233,43.224.129.103,5127,5060,udp,sip,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,China,Japan,unknown,0,1,0,442,0,0,0
2017-10-01T18:20:02Z,Branch01-OneEight,172.19.10.24,54.251.250.54,59076,443,tcp,https,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,Singapore,unknown,5,6,1789,497,152,11769.74,3269.74
2017-10-01T18:20:02Z,Branch01-OneEight,172.19.10.24,54.251.250.54,55030,443,tcp,https,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,Singapore,unknown,5,6,1789,497,142,12598.59,3500
